channel_name,category,Sub-category,Customer Remarks,order_date_time,Issue_reported at,issue_responded,Survey_response_Date,Customer_City,Product_category,Item_price,connected_handling_time,Agent_name,Supervisor,Manager,Tenure Bucket,Agent Shift,CSAT Score,Response Time (mins)
Inbound,Returns,Return request,Good ,,2023-02-08 20:01:00,2023-02-08 20:16:00,2023-08-02,Unknown,Unknown,,,Jacob Hendricks,Logan Lee,Emily Chen,61-90,Evening,5.0,15.0
Outcall,Returns,Return request,No Remarks,,2023-02-08 16:15:00,2023-02-08 16:17:00,2023-08-02,Unknown,Unknown,,,Michael Allen,Mia Patel,Olivia Tan,0-30,Afternoon,4.0,2.0
Inbound,Payments related,Payment related Queries,Godd job,,2023-02-08 16:50:00,2023-02-08 16:52:00,2023-08-02,Unknown,Unknown,,,Samuel Spencer,Zoe Yamamoto,John Smith,>90,Afternoon,5.0,2.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,2023-07-15 14:47:00,2023-01-08 08:55:00,2023-01-08 08:57:00,2023-08-01,BETIA,Electronics,1099.0,,Cynthia Mills,William Park,John Smith,31-60,Morning,5.0,2.0
Inbound,Order Related,Order status enquiry,Issue not resolved pathetic service,2023-07-29 13:35:00,2023-02-08 11:07:00,2023-02-08 11:10:00,2023-08-02,NEW DELHI,Mobile,99999.0,,Michelle Williams,Mason Gupta,Jennifer Nguyen,On Job Training,Morning,1.0,3.0
Inbound,Order Related,Delayed,No Remarks,2023-07-28 10:52:00,2023-01-08 16:28:00,2023-01-08 16:31:00,2023-08-01,KODERMA,Home Appliences,3199.0,,Carl Douglas,Emily Yamashita,Michael Lee,31-60,Morning,5.0,3.0
Inbound,Returns,Fraudulent User,Excellent ,2023-07-25 13:49:00,2023-02-08 21:06:00,2023-02-08 21:07:00,2023-08-02,FARIDABAD,LifeStyle,664.0,,Wendy Taylor,Madison Kim,Michael Lee,31-60,Evening,5.0,1.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,,2023-02-08 07:09:00,2023-02-08 07:10:00,2023-08-02,Unknown,Unknown,,,Jake Castro,Noah Patel,Michael Lee,>90,Morning,4.0,1.0
Inbound,Cancellation,Return cancellation,Very good ,,2023-01-08 16:37:00,2023-01-08 21:37:00,2023-08-01,Unknown,Unknown,,,Stephen Morris,Wyatt Kim,Michael Lee,>90,Evening,4.0,300.0
Inbound,Returns,Reverse Pickup Enquiry,Give proper guidance to the customer ,,2023-01-08 18:41:00,2023-01-08 18:42:00,2023-08-01,Unknown,Unknown,,,Matthew Bennett,Olivia Wang,John Smith,>90,Evening,5.0,1.0
Inbound,Order Related,Unable to track,Please highlight if the products cannot be returned.,,2023-01-08 21:28:00,2023-01-08 22:20:00,2023-08-01,Unknown,Unknown,,,Ashley Hamilton,Jackson Park,William Kim,On Job Training,Evening,1.0,52.0
Outcall,Returns,Reverse Pickup Enquiry,3000 rupees loss ,,2023-02-08 11:09:00,2023-02-08 15:05:00,2023-08-02,Unknown,Unknown,,,Rhonda Martin DVM,Wyatt Kim,Jennifer Nguyen,On Job Training,Morning,1.0,236.0
Outcall,Order Related,Installation/demo,Please don't sale any destroy product or cheep product more price. ,,2023-02-08 13:38:00,2023-02-08 13:42:00,2023-08-02,Unknown,Unknown,,,Kevin Griffin,Evelyn Kimura,John Smith,0-30,Morning,5.0,4.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,,2023-02-08 13:55:00,2023-02-08 18:39:00,2023-08-02,Unknown,Unknown,,,Dana Bridges,Mason Gupta,Jennifer Nguyen,On Job Training,Morning,4.0,284.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,,2023-02-08 14:24:00,2023-02-08 14:26:00,2023-08-02,Unknown,Unknown,,,Brandon Martin,Nathan Patel,John Smith,>90,Afternoon,5.0,2.0
Outcall,Returns,Exchange / Replacement,No Remarks,,2023-02-08 14:47:00,2023-02-08 14:50:00,2023-08-02,Unknown,Unknown,,,Carmen Snow,Dylan Kim,Olivia Tan,>90,Morning,5.0,3.0
Inbound,Order Related,Order status enquiry,I am very disappointed with Shopzilla.The issue was not resolved.The customer care executive was polite enough though he was not able to resolve the issue.But I am appalled at the utter lack of responsibility and accountability of Shopzilla in providing tracking services.,2023-07-19 00:11:00,2023-01-08 00:54:00,2023-01-08 01:05:00,2023-08-01,KANYAKUMARI,Furniture,11159.0,,Charles Williamson,Logan Lee,Emily Chen,0-30,Evening,3.0,11.0
Outcall,Returns,Reverse Pickup Enquiry,No Remarks,,2023-01-08 16:27:00,2023-01-08 16:27:00,2023-08-01,Unknown,Unknown,,,Christopher Mcintosh,Oliver Nguyen,John Smith,>90,Morning,5.0,0.0
Inbound,Order Related,Installation/demo,No comments ,,2023-01-08 16:40:00,2023-01-08 16:44:00,2023-08-01,Unknown,Unknown,,,David Warren,Elijah Yamaguchi,Emily Chen,>90,Morning,5.0,4.0
Inbound,Order Related,Seller Cancelled Order,No Remarks,,2023-01-08 17:37:00,2023-01-08 17:43:00,2023-08-01,Unknown,Unknown,,,Tina Carroll,Layla Taniguchi,Emily Chen,>90,Morning,5.0,6.0
Inbound,Order Related,Order status enquiry,No Remarks,,2023-02-08 22:08:00,2023-02-08 23:22:00,2023-08-02,Unknown,Unknown,,,Andrea Beck,Evelyn Kimura,Jennifer Nguyen,On Job Training,Evening,3.0,74.0
Inbound,Returns,Reverse Pickup Enquiry,  good ????,,2023-01-08 08:09:00,2023-01-08 08:11:00,2023-08-01,Unknown,Unknown,,,Jessica Nixon,Harper Wong,Emily Chen,>90,Split,5.0,2.0
Inbound,Returns,Wrong,customer service number plz available,,2023-01-08 09:56:00,2023-01-08 12:32:00,2023-08-01,Unknown,Unknown,,,Christina Lopez,Isabella Wong,Emily Chen,>90,Split,5.0,156.0
Inbound,Order Related,Order status enquiry,No Remarks,,2023-01-08 12:19:00,2023-02-08 13:01:00,2023-08-02,Unknown,Unknown,,,Christina Lopez,Isabella Wong,Emily Chen,>90,Split,5.0,44682.0
Inbound,Order Related,Order status enquiry,No Remarks,,2023-01-08 22:07:00,2023-01-08 22:08:00,2023-08-01,Unknown,Unknown,,,Stacy Washington,Emily Yamashita,Michael Lee,>90,Morning,5.0,1.0
Inbound,Returns,Return request,Good,,2023-01-08 13:47:00,2023-01-08 13:54:00,2023-08-01,Unknown,Unknown,,,Kevin Randolph,Carter Park,Michael Lee,>90,Morning,5.0,7.0
Inbound,Returns,Service Centres Related,No Remarks,,2023-01-08 16:46:00,2023-01-08 16:48:00,2023-08-01,Unknown,Unknown,,,Brittany Nunez,Emily Yamashita,John Smith,61-90,Evening,4.0,2.0
Inbound,Order Related,Order status enquiry,Respectful ,,2023-01-08 21:20:00,2023-01-08 21:21:00,2023-08-01,Unknown,Unknown,,,Regina Harper,Harper Wong,William Kim,On Job Training,Evening,5.0,1.0
Inbound,Product Queries,Product Specific Information,Very nice good,,2023-02-08 14:40:00,2023-02-08 14:41:00,2023-08-02,Unknown,Unknown,,,Mr. Jeremy Sanchez,Wyatt Kim,Michael Lee,61-90,Afternoon,5.0,1.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,2023-07-24 16:57:00,,2023-01-08 00:04:00,2023-08-01,BURDWAN,Electronics,699.0,,David Todd,Noah Patel,Michael Lee,31-60,Evening,4.0,
Inbound,Returns,Service Centres Related,Even the guarantee period also you have to contact the supplier to reduce the duration of resolve the issue ,,2023-01-08 06:28:00,2023-01-08 08:14:00,2023-08-01,Unknown,Unknown,,,Tina Harrington,Carter Park,Michael Lee,>90,Morning,3.0,106.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,,2023-01-08 08:12:00,2023-01-08 09:33:00,2023-08-01,Unknown,Unknown,,,Nicole Cummings,Jackson Park,John Smith,>90,Morning,5.0,81.0
Inbound,Returns,Fraudulent User,No Remarks,,2023-01-08 16:17:00,2023-01-08 16:17:00,2023-08-01,Unknown,Unknown,,,Mario Simpson,Nathan Patel,Jennifer Nguyen,On Job Training,Evening,5.0,0.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,2023-07-22 13:21:00,,2023-02-08 07:42:00,2023-08-02,JHUJHUNU,LifeStyle,799.0,,Colleen Morton,Zoe Yamamoto,John Smith,>90,Afternoon,1.0,
Outcall,Returns,Fraudulent User,Thanks ,,2023-01-08 12:02:00,2023-01-08 13:44:00,2023-08-01,Unknown,Unknown,,,Kristen Walker,Madison Kim,Emily Chen,>90,Split,5.0,102.0
Inbound,Order Related,Invoice request,No Remarks,,2023-01-08 15:22:00,2023-01-08 15:26:00,2023-08-01,Unknown,Unknown,,,Troy Nguyen,Amelia Tanaka,Emily Chen,>90,Morning,5.0,4.0
Outcall,Returns,Return request,No Remarks,,2023-02-08 12:06:00,2023-02-08 13:03:00,2023-08-02,Unknown,Unknown,,,Devon Daniel,Olivia Wang,Olivia Tan,0-30,Afternoon,5.0,57.0
Inbound,Order Related,Delayed,Try to deliver the product on time ,,2023-01-08 21:40:00,2023-01-08 21:45:00,2023-08-01,Unknown,Unknown,,,Michael Scott,Olivia Wang,John Smith,>90,Evening,5.0,5.0
Outcall,Returns,Return request,No Remarks,,2023-01-08 22:01:00,2023-01-08 22:04:00,2023-08-01,Unknown,Unknown,,,Samantha Jones,Jacob Sato,Emily Chen,0-30,Evening,5.0,3.0
Outcall,Returns,Wrong,Nice conversation good I will give rating for ?????,,2023-02-08 08:00:00,2023-02-08 08:11:00,2023-08-02,Unknown,Unknown,,,Noah Chase,Evelyn Kimura,John Smith,0-30,Morning,5.0,11.0
Outcall,Returns,Wrong,No Remarks,,2023-02-08 10:53:00,2023-02-08 11:01:00,2023-08-02,Unknown,Unknown,,,Sarah Taylor,Carter Park,Jennifer Nguyen,On Job Training,Morning,5.0,8.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,,2023-02-08 12:34:00,2023-02-08 18:43:00,2023-08-02,Unknown,Unknown,,,Amy Vazquez,Elijah Yamaguchi,Michael Lee,>90,Night,5.0,369.0
Inbound,Returns,Reverse Pickup Enquiry,Keep it up Shopzilla ,,2023-02-08 17:52:00,2023-02-08 17:56:00,2023-08-02,Unknown,Unknown,,,Kristin Campbell,Ethan Tan,Michael Lee,>90,Evening,5.0,4.0
Inbound,Returns,Missing,I am so happy ,,2023-02-08 19:35:00,2023-02-08 19:45:00,2023-08-02,Unknown,Unknown,,,Kelsey Garcia,Mia Yamamoto,Emily Chen,>90,Evening,5.0,10.0
Inbound,Order Related,Installation/demo,No Remarks,,2023-01-08 09:50:00,2023-01-08 09:51:00,2023-08-01,Unknown,Unknown,,,Guy Duncan,Carter Park,Jennifer Nguyen,On Job Training,Morning,1.0,1.0
Inbound,Returns,Return request,No Remarks,,2023-01-08 18:50:00,2023-01-08 18:52:00,2023-08-01,Unknown,Unknown,,,Shannon Hicks,Aiden Patel,Olivia Tan,>90,Morning,5.0,2.0
Inbound,Order Related,Delayed,No Remarks,2023-07-19 15:13:00,2023-01-08 08:01:00,2023-01-08 08:06:00,2023-08-01,RANGAREDDY,Mobile,24999.0,,Mrs. Jennifer Stone,Dylan Kim,Michael Lee,>90,Morning,1.0,5.0
Inbound,Returns,Service Centres Related,No Remarks,2023-06-21 17:12:00,2023-02-08 15:48:00,2023-02-08 15:49:00,2023-08-02,DHENKANAL,Electronics,15490.0,,Elizabeth Brown,Brayden Wong,Michael Lee,>90,Afternoon,5.0,1.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,2023-07-19 22:21:00,2023-01-08 19:05:00,2023-01-08 19:12:00,2023-08-01,VERAVAL,Home,166.0,,Sergio Carrillo,Emma Park,Jennifer Nguyen,On Job Training,Evening,5.0,7.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,,2023-01-08 12:08:00,2023-01-08 12:10:00,2023-08-01,Unknown,Unknown,,,Kelly Martin,Aiden Patel,John Smith,>90,Morning,5.0,2.0
Outcall,Order Related,Installation/demo,No Remarks,,2023-02-08 06:35:00,2023-02-08 06:42:00,2023-08-02,Unknown,Unknown,,,Kathy Strong,Sophia Sato,John Smith,0-30,Morning,1.0,7.0
Inbound,Order Related,Priority delivery,No Remarks,,2023-02-08 15:47:00,2023-02-08 15:50:00,2023-08-02,Unknown,Unknown,,,Marvin Rivera,Carter Park,Jennifer Nguyen,On Job Training,Evening,5.0,3.0
Inbound,Refund Related,Refund Related Issues,Very bad agent,2023-07-26 12:04:00,2023-02-08 13:18:00,2023-02-08 13:27:00,2023-08-02,PATTAMUNDAI,Mobile,10999.0,,John Barrett,Aiden Patel,John Smith,>90,Morning,1.0,9.0
Inbound,Returns,Return request,No Remarks,,2023-01-08 14:32:00,2023-01-08 14:34:00,2023-08-01,Unknown,Unknown,,,Diana Sanchez,William Park,John Smith,0-30,Morning,5.0,2.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,,2023-02-08 11:05:00,2023-02-08 11:07:00,2023-08-02,Unknown,Unknown,,,Tina Ramirez,Zoe Yamamoto,John Smith,>90,Morning,5.0,2.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,,2023-02-08 16:19:00,2023-02-08 16:23:00,2023-08-02,Unknown,Unknown,,,Michael Ruiz,Madison Kim,John Smith,>90,Morning,5.0,4.0
Outcall,Returns,Reverse Pickup Enquiry,No Remarks,,2023-02-08 20:01:00,2023-02-08 20:04:00,2023-08-02,Unknown,Unknown,,,Terri Carr,Brayden Wong,Michael Lee,>90,Afternoon,5.0,3.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,2023-07-14 22:09:00,2023-01-08 21:02:00,2023-01-08 21:02:00,2023-08-01,PALAMU,LifeStyle,2129.0,,Seth Williamson,Sophia Sato,John Smith,>90,Afternoon,5.0,0.0
Inbound,Order Related,Order status enquiry,No Remarks,,2023-01-08 13:09:00,2023-01-08 13:11:00,2023-08-01,Unknown,Unknown,,,Lisa Wilson,Isabella Wong,Emily Chen,>90,Afternoon,5.0,2.0
Outcall,Shopzilla Related,Signup Issues,No Remarks,,2023-02-08 13:21:00,2023-02-08 13:23:00,2023-08-02,Unknown,Unknown,,,Brandon Frost,Carter Park,Michael Lee,>90,Morning,5.0,2.0
Inbound,Order Related,Invoice request,No Remarks,,2023-02-08 14:45:00,2023-02-08 14:48:00,2023-08-02,Unknown,Unknown,,,Bruce Martin,Zoe Yamamoto,Emily Chen,>90,Split,5.0,3.0
Outcall,Order Related,Order status enquiry,Ok,,2023-02-08 10:59:00,2023-02-08 11:00:00,2023-08-02,Unknown,Unknown,,,David Steele,Mason Gupta,Jennifer Nguyen,On Job Training,Morning,2.0,1.0
Inbound,Payments related,Online Payment Issues,No Remarks,,2023-01-08 11:03:00,2023-01-08 11:09:00,2023-08-01,Unknown,Unknown,,,Margaret Prince,Carter Park,Michael Lee,31-60,Morning,5.0,6.0
Inbound,Order Related,Installation/demo,No Remarks,,2023-02-08 18:20:00,2023-02-08 18:56:00,2023-08-02,Unknown,Unknown,,,John Barrett,Aiden Patel,John Smith,>90,Morning,5.0,36.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,,2023-01-08 18:30:00,2023-01-08 18:40:00,2023-08-01,Unknown,Unknown,,,Alexis Campbell,Elijah Yamaguchi,Michael Lee,>90,Afternoon,5.0,10.0
Inbound,Returns,Technician Visit,Should take action fast..thank u,,2023-02-08 07:12:00,2023-02-08 07:17:00,2023-08-02,Unknown,Unknown,,,Dominique Roberts,Ava Wong,Olivia Tan,>90,Morning,5.0,5.0
Inbound,Returns,Return request,Good talk,,2023-02-08 12:54:00,2023-02-08 12:56:00,2023-08-02,Unknown,Unknown,,,Brandy Johnson,Noah Patel,Michael Lee,>90,Morning,5.0,2.0
Inbound,Returns,Fraudulent User,No Remarks,,2023-02-08 10:06:00,2023-02-08 10:42:00,2023-08-02,Unknown,Unknown,,,Samuel Blankenship,Brayden Wong,John Smith,>90,Morning,5.0,36.0
Inbound,Feedback,UnProfessional Behaviour,The way she talked with me is quite appropriate and nice as well. Shopzilla should hire these kind of executive for their customer support service.   bless you dear.,2023-07-20 23:03:00,2023-02-08 13:11:00,2023-02-08 13:21:00,2023-08-02,HARIDWAR,Electronics,199.0,,Terri Carr,Brayden Wong,Michael Lee,>90,Afternoon,5.0,10.0
Inbound,Order Related,Installation/demo,No Remarks,,2023-02-08 17:25:00,2023-02-08 17:27:00,2023-08-02,Unknown,Unknown,,,Garrett Parker,Wyatt Kim,Michael Lee,>90,Evening,5.0,2.0
Inbound,Refund Related,Refund Related Issues,No Remarks,,2023-02-08 20:28:00,2023-02-08 20:29:00,2023-08-02,Unknown,Unknown,,,Melinda Montgomery,Landon Tanaka,Emily Chen,61-90,Split,5.0,1.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,2023-07-12 11:42:00,,2023-01-08 12:54:00,2023-08-01,GAYA,Books & General merchandise,295.0,,Matthew Bennett,Olivia Wang,John Smith,>90,Evening,5.0,
Inbound,Order Related,Delayed,No Remarks,,2023-01-08 11:02:00,2023-01-08 11:05:00,2023-08-01,Unknown,Unknown,,,Erika Black,Scarlett Chen,John Smith,0-30,Morning,5.0,3.0
Inbound,Order Related,Order status enquiry,No Remarks,,2023-01-08 12:02:00,2023-01-08 17:45:00,2023-08-01,Unknown,Unknown,,,Troy Nguyen,Amelia Tanaka,Emily Chen,>90,Morning,5.0,343.0
Inbound,Returns,Reverse Pickup Enquiry,"Please pack the products which actually customers ordered, otherwise it is time to both you and us Shopzilla.",,2023-01-08 21:22:00,2023-01-08 21:24:00,2023-08-01,Unknown,Unknown,,,Matthew Callahan,Evelyn Kimura,Jennifer Nguyen,On Job Training,Evening,4.0,2.0
Inbound,Order Related,Invoice request,No Remarks,,2023-02-08 12:23:00,2023-02-08 12:28:00,2023-08-02,Unknown,Unknown,,,David Meyers,Isabella Wong,Emily Chen,>90,Afternoon,4.0,5.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,,2023-01-08 12:34:00,2023-01-08 12:36:00,2023-08-01,Unknown,Unknown,,,Evan Ramsey,Ethan Tan,John Smith,>90,Morning,5.0,2.0
Inbound,Shopzilla Related,General Enquiry,Thanks ,,2023-01-08 17:29:00,2023-01-08 18:06:00,2023-08-01,Unknown,Unknown,,,Joshua Underwood,Carter Park,Michael Lee,>90,Evening,5.0,37.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,,2023-01-08 20:32:00,2023-01-08 21:19:00,2023-08-01,Unknown,Unknown,,,Andrea Beck,Evelyn Kimura,Jennifer Nguyen,On Job Training,Evening,5.0,47.0
Inbound,Feedback,UnProfessional Behaviour,No Remarks,,2023-02-08 22:53:00,2023-02-08 22:59:00,2023-08-02,Unknown,Unknown,,,Jacob Hendricks,Logan Lee,Emily Chen,61-90,Evening,4.0,6.0
Inbound,Shopzilla Related,Signup Issues,No Remarks,,,2023-01-08 07:55:00,2023-08-01,Unknown,Unknown,,,Brittany Nunez,Emily Yamashita,John Smith,61-90,Evening,5.0,
Inbound,Refund Related,Refund Related Issues,????,,2023-01-08 07:23:00,2023-01-08 07:25:00,2023-08-01,Unknown,Unknown,,,Kevin Griffin,Evelyn Kimura,John Smith,0-30,Morning,5.0,2.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,,2023-01-08 19:34:00,2023-01-08 19:38:00,2023-08-01,Unknown,Unknown,,,Sandra Pierce,Emma Park,Jennifer Nguyen,On Job Training,Evening,5.0,4.0
Inbound,Cancellation,Not Needed,Mr   was very helpful ,,2023-02-08 01:01:00,2023-02-08 01:09:00,2023-08-02,Unknown,Unknown,,,Wendy Church,Wyatt Kim,Michael Lee,31-60,Evening,5.0,8.0
Inbound,Returns,Damaged,"Thank you so much sir for solving my issue . Bhai, please highlight my concern. Bhai sorry for the late feedback. Bhai please call me.",,2023-02-08 20:16:00,2023-02-08 20:46:00,2023-08-02,Unknown,Unknown,,,David Todd,Noah Patel,Michael Lee,31-60,Evening,5.0,30.0
Inbound,Returns,Wrong,Good ,2023-06-05 09:02:00,2023-01-08 09:29:00,2023-01-08 09:34:00,2023-08-01,RASULABAD,Mobile,7999.0,,Lisa Padilla,Mason Gupta,Jennifer Nguyen,On Job Training,Morning,5.0,5.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,,2023-01-08 19:39:00,2023-01-08 19:45:00,2023-08-01,Unknown,Unknown,,,Veronica Martinez,William Park,John Smith,61-90,Evening,5.0,6.0
Inbound,Returns,Exchange / Replacement,No Remarks,,2023-02-08 14:59:00,2023-02-08 15:00:00,2023-08-02,Unknown,Unknown,,,Jeffrey Parker,Nathan Patel,Michael Lee,>90,Morning,4.0,1.0
Inbound,Returns,Return request,Thankyou ,2023-07-16 21:42:00,2023-01-08 00:51:00,2023-01-08 00:53:00,2023-08-01,VIRAMGAM,Electronics,1499.0,,Sharon Stephenson,Jacob Sato,Emily Chen,0-30,Evening,5.0,2.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,2023-07-07 21:59:00,2023-01-08 21:46:00,2023-01-08 21:49:00,2023-08-01,DHULE,Electronics,1799.0,,Lindsey Smith,Nathan Patel,John Smith,>90,Afternoon,5.0,3.0
Inbound,Order Related,Order status enquiry,I selected for English language preference but it's goes into Hindi channel. But customer service executive doesn't understand English properly,,2023-02-08 19:31:00,2023-02-08 19:32:00,2023-08-02,Unknown,Unknown,,,James Lopez,Jackson Park,William Kim,On Job Training,Evening,1.0,1.0
Inbound,Returns,Product related Issues,No Remarks,,2023-02-08 09:58:00,2023-02-08 10:33:00,2023-08-02,Unknown,Unknown,,,Joseph Harris,Nathan Patel,John Smith,>90,Split,4.0,35.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,,2023-02-08 18:54:00,2023-02-08 18:55:00,2023-08-02,Unknown,Unknown,,,Jerry Rodriguez,Madison Kim,Michael Lee,31-60,Evening,1.0,1.0
Inbound,Returns,Missing,No Remarks,,2023-02-08 19:55:00,2023-02-08 20:44:00,2023-08-02,Unknown,Unknown,,,Kevin Lee,Harper Wong,William Kim,On Job Training,Evening,5.0,49.0
Inbound,Returns,Reverse Pickup Enquiry,Nice ,,2023-02-08 22:10:00,2023-02-08 22:18:00,2023-08-02,Unknown,Unknown,,,Kelsey Massey,Mia Patel,Emily Chen,61-90,Evening,5.0,8.0
Inbound,Returns,Reverse Pickup Enquiry,"Please don't give the chance of local shop/ company,,, they're using the name of Shopzilla & giving worst products... Sell your products like Myntra ( Myntra always send their products)",,2023-02-08 22:55:00,2023-02-08 22:57:00,2023-08-02,Unknown,Unknown,,,Amy Gonzalez,Logan Lee,Emily Chen,61-90,Evening,5.0,2.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,2023-07-24 15:48:00,2023-01-08 20:39:00,2023-01-08 20:41:00,2023-08-01,BHUBANESWAR,Electronics,999.0,,Alexis Campbell,Elijah Yamaguchi,Michael Lee,>90,Afternoon,5.0,2.0
